439
1 5
83.0 368.0 497
47.0 367.0 525
11.0 367.0 551
20 14
696.0 408.0 89
681.0 419.0 121
642.0 429.0 162
601.0 426.0 195
552.0 414.0 225
489.0 400.0 257
438.0 377.0 285
375.0 362.0 315
311.0 356.0 348
245.0 361.0 383
185.0 378.0 418
128.0 383.0 451
82.0 389.0 490
15.0 399.0 532
21 7
465.0 512.0 0
480.0 502.0 70
533.0 515.0 95
589.0 512.0 122
648.0 508.0 148
667.0 510.0 174
711.0 506.0 214
22 10
443.0 556.0 0
452.0 537.0 38
460.0 527.0 77
496.0 534.0 92
536.0 544.0 106
591.0 551.0 124
647.0 542.0 148
666.0 539.0 171
707.0 540.0 208
722.0 538.0 224
23 21
41.0 410.0 11
77.0 398.0 45
110.0 372.0 75
159.0 356.0 100
213.0 346.0 127
267.0 332.0 156
306.0 315.0 180
325.0 277.0 199
344.0 270.0 216
369.0 265.0 235
389.0 252.0 260
407.0 232.0 280
439.0 215.0 304
475.0 205.0 327
503.0 194.0 351
529.0 184.0 375
559.0 181.0 398
588.0 170.0 419
626.0 177.0 443
662.0 173.0 469
705.0 176.0 499
24 14
22.0 450.0 42
76.0 437.0 62
142.0 428.0 89
202.0 426.0 109
272.0 441.0 133
341.0 438.0 156
418.0 435.0 179
484.0 433.0 200
536.0 429.0 219
555.0 447.0 235
570.0 458.0 252
594.0 460.0 269
635.0 480.0 287
702.0 519.0 304
25 17
521.0 37.0 0
523.0 53.0 18
514.0 98.0 46
504.0 127.0 72
474.0 153.0 98
434.0 175.0 124
391.0 197.0 151
360.0 195.0 178
343.0 199.0 198
295.0 197.0 226
253.0 192.0 250
203.0 193.0 275
156.0 206.0 303
107.0 217.0 334
61.0 233.0 361
23.0 242.0 384
-6.0 242.0 393
26 15
700.0 217.0 142
657.0 217.0 164
616.0 208.0 182
562.0 198.0 204
510.0 196.0 226
453.0 196.0 250
395.0 189.0 275
335.0 191.0 301
275.0 186.0 327
233.0 169.0 348
217.0 148.0 369
208.0 118.0 390
188.0 87.0 414
135.0 50.0 450
94.0 7.0 486
27 17
703.0 494.0 174
648.0 477.0 195
600.0 468.0 220
584.0 465.0 238
574.0 431.0 256
543.0 424.0 276
493.0 420.0 300
438.0 411.0 326
378.0 394.0 351
326.0 381.0 376
272.0 373.0 400
227.0 370.0 426
185.0 377.0 454
150.0 372.0 483
101.0 355.0 520
56.0 359.0 553
16.0 355.0 577
28 24
718.0 415.0 148
689.0 428.0 174
664.0 436.0 198
641.0 454.0 224
615.0 479.0 249
588.0 505.0 269
569.0 528.0 288
554.0 529.0 305
509.0 510.0 328
464.0 525.0 351
447.0 553.0 366
442.0 576.0 386
417.0 581.0 470
376.0 576.0 491
330.0 560.0 517
286.0 536.0 540
250.0 496.0 572
241.0 445.0 600
224.0 421.0 625
210.0 395.0 654
171.0 365.0 681
114.0 352.0 712
62.0 351.0 737
15.0 353.0 766
29 16
699.0 463.0 180
638.0 449.0 204
594.0 434.0 227
576.0 423.0 242
547.0 412.0 261
508.0 400.0 287
464.0 395.0 311
415.0 383.0 335
357.0 359.0 363
305.0 348.0 390
245.0 344.0 417
198.0 349.0 444
161.0 349.0 472
130.0 338.0 504
81.0 333.0 544
13.0 332.0 583
30 20
704.0 443.0 186
675.0 458.0 213
642.0 487.0 242
623.0 507.0 262
599.0 535.0 285
568.0 542.0 309
529.0 523.0 340
491.0 523.0 364
447.0 538.0 392
411.0 545.0 415
403.0 554.0 458
381.0 555.0 505
340.0 547.0 538
292.0 520.0 571
254.0 489.0 601
218.0 434.0 634
183.0 400.0 667
138.0 376.0 698
80.0 372.0 731
8.0 373.0 768
31 8
717.0 382.0 221
704.0 345.0 232
665.0 279.0 257
627.0 218.0 284
600.0 174.0 305
582.0 125.0 332
553.0 46.0 372
542.0 10.0 396
32 8
713.0 307.0 259
701.0 293.0 265
662.0 237.0 289
614.0 194.0 313
583.0 152.0 335
557.0 109.0 359
536.0 52.0 390
525.0 12.0 417
33 14
711.0 165.0 347
659.0 178.0 374
604.0 188.0 400
552.0 200.0 427
491.0 209.0 456
442.0 218.0 477
374.0 209.0 504
302.0 193.0 533
244.0 175.0 558
213.0 145.0 583
196.0 103.0 605
167.0 70.0 632
127.0 47.0 654
7.0 9.0 718
34 14
701.0 187.0 376
652.0 208.0 399
607.0 217.0 416
543.0 219.0 441
494.0 223.0 464
419.0 236.0 490
335.0 227.0 521
253.0 209.0 550
209.0 194.0 571
188.0 152.0 592
161.0 103.0 623
109.0 73.0 650
53.0 56.0 677
5.0 41.0 699
35 8
702.0 177.0 404
660.0 144.0 435
620.0 122.0 464
589.0 110.0 489
557.0 102.0 518
528.0 83.0 554
517.0 70.0 578
506.0 49.0 602
36 8
698.0 146.0 413
666.0 117.0 440
632.0 92.0 468
618.0 72.0 496
608.0 65.0 525
592.0 60.0 546
561.0 58.0 569
540.0 33.0 587
37 21
719.0 387.0 398
704.0 431.0 424
676.0 466.0 445
624.0 481.0 468
575.0 483.0 491
540.0 473.0 514
534.0 480.0 533
530.0 489.0 561
509.0 505.0 583
477.0 521.0 605
430.0 537.0 631
372.0 542.0 657
320.0 543.0 682
266.0 519.0 709
227.0 491.0 732
208.0 463.0 758
172.0 430.0 790
137.0 414.0 819
102.0 418.0 850
61.0 421.0 879
16.0 440.0 916
38 18
700.0 328.0 568
679.0 325.0 592
659.0 316.0 612
635.0 315.0 634
610.0 308.0 661
557.0 288.0 691
520.0 282.0 718
481.0 281.0 747
431.0 278.0 776
369.0 269.0 806
319.0 276.0 835
255.0 255.0 869
214.0 241.0 895
162.0 235.0 926
127.0 240.0 964
83.0 253.0 995
39.0 265.0 1024
5.0 268.0 1041
39 16
701.0 345.0 594
667.0 330.0 627
641.0 315.0 657
603.0 274.0 687
540.0 255.0 721
487.0 260.0 748
430.0 255.0 777
375.0 247.0 806
314.0 241.0 837
260.0 229.0 867
204.0 215.0 899
156.0 213.0 928
117.0 226.0 963
74.0 235.0 993
38.0 234.0 1024
10.0 240.0 1041
40 7
703.0 140.0 630
654.0 124.0 653
621.0 103.0 678
601.0 76.0 709
592.0 61.0 757
595.0 44.0 774
580.0 12.0 812
41 9
720.0 487.0 629
700.0 482.0 640
678.0 484.0 665
661.0 488.0 694
665.0 477.0 826
673.0 466.0 869
684.0 447.0 911
700.0 440.0 964
716.0 430.0 1019
42 13
701.0 537.0 685
614.0 518.0 719
543.0 468.0 750
487.0 421.0 774
439.0 389.0 797
370.0 346.0 829
331.0 300.0 859
286.0 245.0 892
236.0 205.0 921
201.0 159.0 947
182.0 93.0 982
136.0 40.0 1020
98.0 10.0 1050
43 9
706.0 161.0 701
664.0 158.0 733
644.0 174.0 758
641.0 197.0 785
658.0 197.0 820
676.0 203.0 854
689.0 188.0 951
705.0 172.0 974
720.0 164.0 1002
44 15
707.0 410.0 717
648.0 339.0 741
574.0 295.0 767
484.0 276.0 795
424.0 257.0 820
413.0 236.0 837
375.0 208.0 864
326.0 193.0 892
272.0 184.0 920
227.0 164.0 945
215.0 127.0 971
192.0 88.0 1001
148.0 64.0 1025
112.0 46.0 1046
68.0 7.0 1080
45 22
719.0 358.0 724
698.0 349.0 740
644.0 339.0 769
599.0 319.0 794
552.0 311.0 822
507.0 318.0 850
476.0 322.0 870
448.0 326.0 894
420.0 313.0 925
380.0 308.0 959
361.0 300.0 995
322.0 302.0 1028
281.0 305.0 1060
238.0 309.0 1091
225.0 312.0 1144
204.0 315.0 1188
183.0 318.0 1212
145.0 314.0 1251
127.0 319.0 1289
108.0 325.0 1365
69.0 335.0 1392
13.0 341.0 1421
46 20
705.0 333.0 749
642.0 323.0 783
607.0 307.0 811
562.0 307.0 840
523.0 309.0 871
476.0 316.0 903
445.0 316.0 930
404.0 302.0 962
368.0 281.0 992
317.0 285.0 1044
280.0 285.0 1071
244.0 287.0 1102
227.0 290.0 1131
207.0 293.0 1192
174.0 292.0 1224
146.0 294.0 1261
126.0 294.0 1324
97.0 307.0 1383
61.0 310.0 1404
11.0 313.0 1430
47 20
714.0 305.0 747
698.0 304.0 758
646.0 304.0 787
608.0 287.0 820
564.0 285.0 853
521.0 289.0 882
483.0 297.0 912
460.0 296.0 933
433.0 288.0 956
400.0 276.0 982
360.0 264.0 1011
324.0 264.0 1043
286.0 264.0 1075
237.0 267.0 1105
198.0 269.0 1137
177.0 271.0 1236
136.0 276.0 1278
123.0 278.0 1344
91.0 287.0 1399
8.0 293.0 1438
48 15
709.0 449.0 801
657.0 448.0 826
621.0 464.0 848
591.0 463.0 873
556.0 456.0 897
513.0 433.0 929
466.0 415.0 967
411.0 407.0 1003
355.0 403.0 1036
297.0 395.0 1067
246.0 374.0 1101
191.0 369.0 1130
134.0 365.0 1157
82.0 378.0 1198
13.0 387.0 1249
49 14
705.0 432.0 814
653.0 430.0 843
620.0 439.0 867
576.0 431.0 895
526.0 416.0 929
482.0 400.0 964
419.0 383.0 1005
370.0 374.0 1036
317.0 370.0 1068
253.0 351.0 1108
191.0 343.0 1143
128.0 343.0 1176
75.0 356.0 1213
16.0 369.0 1259
50 19
703.0 178.0 904
642.0 182.0 934
600.0 192.0 962
549.0 198.0 992
496.0 197.0 1030
438.0 191.0 1066
386.0 194.0 1096
327.0 202.0 1126
289.0 220.0 1156
270.0 247.0 1184
264.0 273.0 1219
281.0 305.0 1245
324.0 333.0 1272
383.0 370.0 1300
458.0 400.0 1334
536.0 418.0 1362
609.0 441.0 1388
668.0 471.0 1409
709.0 505.0 1426
51 25
704.0 513.0 912
646.0 502.0 941
574.0 507.0 968
544.0 507.0 989
534.0 513.0 1038
511.0 512.0 1142
466.0 521.0 1166
423.0 537.0 1191
395.0 556.0 1216
370.0 553.0 1270
355.0 566.0 1301
346.0 577.0 1333
325.0 574.0 1487
335.0 545.0 1513
365.0 480.0 1536
395.0 394.0 1564
414.0 314.0 1596
460.0 250.0 1628
506.0 199.0 1658
553.0 170.0 1685
599.0 143.0 1712
604.0 111.0 1735
590.0 75.0 1760
573.0 45.0 1790
576.0 30.0 1849
52 17
719.0 338.0 1061
695.0 331.0 1073
642.0 310.0 1099
584.0 288.0 1125
557.0 272.0 1143
539.0 261.0 1162
502.0 259.0 1186
456.0 243.0 1213
406.0 239.0 1241
335.0 236.0 1275
267.0 236.0 1304
205.0 242.0 1336
176.0 246.0 1361
148.0 246.0 1395
129.0 254.0 1424
84.0 257.0 1456
9.0 263.0 1510
53 20
704.0 357.0 1081
640.0 334.0 1103
606.0 316.0 1124
582.0 298.0 1142
574.0 303.0 1160
571.0 291.0 1166
570.0 285.0 1175
562.0 283.0 1179
526.0 274.0 1194
468.0 278.0 1216
407.0 282.0 1239
349.0 282.0 1261
294.0 271.0 1287
238.0 268.0 1313
196.0 269.0 1339
167.0 270.0 1364
147.0 272.0 1389
111.0 273.0 1434
50.0 284.0 1477
9.0 282.0 1504
54 15
699.0 334.0 1119
645.0 317.0 1142
601.0 290.0 1165
577.0 279.0 1189
547.0 282.0 1206
502.0 277.0 1228
450.0 257.0 1257
402.0 235.0 1285
338.0 217.0 1313
271.0 203.0 1343
218.0 164.0 1375
201.0 122.0 1406
156.0 76.0 1443
118.0 52.0 1467
63.0 5.0 1511
55 19
704.0 300.0 1125
669.0 301.0 1148
640.0 297.0 1171
613.0 295.0 1193
580.0 288.0 1220
540.0 280.0 1253
494.0 282.0 1287
439.0 281.0 1321
399.0 282.0 1362
369.0 292.0 1394
323.0 292.0 1437
281.0 291.0 1475
234.0 289.0 1517
181.0 303.0 1561
140.0 299.0 1600
107.0 290.0 1649
75.0 291.0 1693
41.0 301.0 1739
9.0 310.0 1771
56 17
704.0 280.0 1130
668.0 281.0 1159
632.0 276.0 1192
580.0 266.0 1230
529.0 260.0 1267
467.0 258.0 1306
424.0 260.0 1344
392.0 263.0 1384
341.0 268.0 1432
292.0 269.0 1476
238.0 270.0 1523
193.0 275.0 1554
154.0 279.0 1596
117.0 269.0 1646
78.0 273.0 1688
51.0 279.0 1734
14.0 283.0 1772
57 16
701.0 250.0 1213
664.0 258.0 1237
643.0 261.0 1252
630.0 271.0 1269
598.0 274.0 1290
554.0 281.0 1314
502.0 292.0 1340
441.0 303.0 1372
378.0 321.0 1402
298.0 321.0 1436
227.0 307.0 1468
168.0 295.0 1496
124.0 290.0 1522
85.0 286.0 1550
42.0 283.0 1581
10.0 280.0 1601
58 15
703.0 544.0 1317
648.0 531.0 1345
586.0 516.0 1378
524.0 492.0 1410
467.0 468.0 1443
404.0 446.0 1478
339.0 437.0 1511
288.0 420.0 1545
244.0 404.0 1580
215.0 386.0 1610
172.0 355.0 1644
138.0 343.0 1675
95.0 355.0 1708
53.0 358.0 1738
-1.0 370.0 1775
59 13
707.0 518.0 1333
642.0 507.0 1364
571.0 489.0 1399
516.0 456.0 1431
450.0 432.0 1466
381.0 414.0 1504
312.0 397.0 1543
255.0 379.0 1580
224.0 362.0 1617
182.0 337.0 1654
147.0 319.0 1687
99.0 327.0 1726
11.0 346.0 1774
60 11
705.0 549.0 1380
643.0 531.0 1417
606.0 508.0 1448
534.0 472.0 1486
523.0 468.0 1511
494.0 447.0 1615
518.0 449.0 1650
572.0 457.0 1676
644.0 464.0 1704
701.0 463.0 1727
726.0 468.0 1738
61 13
702.0 513.0 1388
656.0 501.0 1418
612.0 482.0 1445
571.0 453.0 1473
530.0 440.0 1504
514.0 439.0 1535
515.0 423.0 1594
511.0 408.0 1634
531.0 413.0 1653
560.0 421.0 1674
629.0 425.0 1700
701.0 430.0 1731
730.0 436.0 1744
62 12
721.0 309.0 1499
700.0 305.0 1517
651.0 298.0 1552
611.0 284.0 1591
574.0 280.0 1629
549.0 283.0 1674
541.0 284.0 1709
547.0 303.0 1735
583.0 330.0 1767
629.0 361.0 1793
696.0 416.0 1833
727.0 447.0 1849
63 13
701.0 275.0 1517
661.0 259.0 1544
626.0 252.0 1574
601.0 252.0 1604
580.0 255.0 1633
561.0 258.0 1664
541.0 255.0 1693
534.0 281.0 1741
543.0 299.0 1764
574.0 329.0 1794
623.0 372.0 1821
703.0 448.0 1861
729.0 494.0 1880
64 19
727.0 287.0 1537
695.0 279.0 1567
651.0 275.0 1601
627.0 281.0 1631
608.0 276.0 1666
585.0 271.0 1703
566.0 266.0 1738
547.0 267.0 1783
520.0 262.0 1812
487.0 269.0 1848
446.0 275.0 1885
403.0 277.0 1920
357.0 274.0 1958
301.0 276.0 1999
250.0 288.0 2042
187.0 293.0 2084
138.0 291.0 2124
86.0 293.0 2167
17.0 293.0 2227
65 20
702.0 259.0 1568
675.0 255.0 1598
646.0 261.0 1635
632.0 273.0 1665
611.0 276.0 1703
595.0 269.0 1739
581.0 255.0 1770
550.0 241.0 1803
506.0 241.0 1835
463.0 249.0 1870
424.0 256.0 1904
379.0 253.0 1940
328.0 253.0 1978
282.0 256.0 2014
232.0 265.0 2048
183.0 270.0 2083
140.0 271.0 2117
100.0 274.0 2154
58.0 274.0 2192
12.0 278.0 2228
66 19
722.0 305.0 1564
695.0 304.0 1582
658.0 304.0 1608
615.0 300.0 1639
605.0 299.0 1668
589.0 296.0 1726
568.0 282.0 1771
533.0 289.0 1807
499.0 291.0 1836
462.0 297.0 1868
427.0 302.0 1902
375.0 302.0 1940
319.0 298.0 1976
274.0 303.0 2013
228.0 312.0 2056
176.0 312.0 2092
127.0 311.0 2132
74.0 315.0 2177
20.0 316.0 2220
67 14
723.0 552.0 1643
696.0 534.0 1657
647.0 519.0 1682
596.0 497.0 1713
517.0 457.0 1750
443.0 430.0 1784
384.0 395.0 1821
323.0 366.0 1860
261.0 341.0 1901
198.0 330.0 1935
134.0 310.0 1972
80.0 309.0 2008
17.0 306.0 2054
3.0 306.0 2070
68 8
718.0 385.0 1675
695.0 333.0 1695
662.0 269.0 1724
636.0 227.0 1753
607.0 168.0 1788
598.0 113.0 1825
575.0 53.0 1877
582.0 13.0 1946
69 10
723.0 344.0 1690
705.0 303.0 1709
680.0 264.0 1732
657.0 224.0 1756
635.0 188.0 1781
626.0 149.0 1809
627.0 104.0 1837
611.0 74.0 1862
596.0 48.0 1888
597.0 7.0 1932
70 17
705.0 225.0 1742
672.0 219.0 1761
652.0 215.0 1782
619.0 205.0 1809
582.0 204.0 1835
534.0 215.0 1867
487.0 220.0 1895
425.0 221.0 1928
368.0 234.0 1961
323.0 235.0 1987
278.0 238.0 2015
226.0 243.0 2047
178.0 234.0 2080
136.0 235.0 2113
88.0 236.0 2152
24.0 263.0 2197
1.0 265.0 2209
71 15
700.0 190.0 1743
662.0 182.0 1767
650.0 180.0 1789
613.0 183.0 1819
550.0 190.0 1854
487.0 201.0 1895
414.0 204.0 1934
353.0 215.0 1969
311.0 223.0 2002
281.0 231.0 2025
240.0 226.0 2048
183.0 210.0 2084
133.0 204.0 2121
81.0 216.0 2161
15.0 236.0 2209
72 26
0.0 278.0 1458
21.0 304.0 1477
31.0 317.0 1507
40.0 338.0 1537
69.0 360.0 1576
112.0 356.0 1620
136.0 369.0 1654
175.0 366.0 1691
221.0 380.0 1724
253.0 417.0 1758
279.0 456.0 1790
319.0 514.0 1832
335.0 545.0 1871
332.0 543.0 2080
329.0 529.0 2108
332.0 498.0 2131
312.0 447.0 2165
263.0 396.0 2199
221.0 353.0 2231
199.0 299.0 2257
191.0 239.0 2283
199.0 180.0 2312
196.0 119.0 2343
171.0 72.0 2373
145.0 47.0 2390
91.0 9.0 2422
73 10
578.0 52.0 226
559.0 66.0 257
558.0 100.0 291
560.0 126.0 316
560.0 149.0 335
562.0 171.0 358
586.0 202.0 382
617.0 225.0 407
651.0 249.0 429
707.0 262.0 458
74 15
618.0 42.0 46
614.0 57.0 94
592.0 63.0 121
580.0 64.0 169
577.0 72.0 196
580.0 81.0 242
596.0 102.0 265
599.0 121.0 291
602.0 108.0 348
605.0 87.0 382
608.0 69.0 433
612.0 49.0 473
641.0 40.0 538
664.0 35.0 564
679.0 30.0 672
75 27
13.0 221.0 46
51.0 220.0 85
82.0 223.0 120
118.0 215.0 154
151.0 215.0 198
186.0 222.0 235
200.0 236.0 266
218.0 238.0 309
226.0 253.0 357
234.0 254.0 401
261.0 252.0 433
251.0 258.0 482
264.0 267.0 535
289.0 275.0 573
303.0 272.0 638
326.0 278.0 729
357.0 284.0 763
382.0 292.0 791
415.0 290.0 825
446.0 282.0 861
481.0 264.0 898
519.0 244.0 932
564.0 227.0 961
608.0 227.0 990
650.0 225.0 1018
688.0 213.0 1047
708.0 201.0 1068
76 23
8.0 251.0 55
48.0 250.0 89
84.0 250.0 127
120.0 242.0 162
165.0 237.0 200
208.0 236.0 236
237.0 238.0 268
261.0 250.0 303
273.0 241.0 337
292.0 232.0 377
357.0 223.0 411
409.0 228.0 433
469.0 241.0 457
525.0 255.0 483
585.0 258.0 513
627.0 265.0 538
635.0 292.0 559
635.0 326.0 578
641.0 380.0 604
646.0 429.0 631
658.0 458.0 651
669.0 458.0 671
699.0 461.0 682
77 18
19.0 267.0 192
67.0 272.0 233
110.0 267.0 267
148.0 251.0 298
182.0 237.0 330
234.0 224.0 361
290.0 210.0 392
348.0 202.0 424
400.0 205.0 455
448.0 197.0 479
474.0 196.0 499
530.0 200.0 530
568.0 209.0 555
591.0 213.0 577
617.0 218.0 608
655.0 226.0 640
692.0 232.0 671
716.0 240.0 685
78 16
17.0 247.0 192
63.0 245.0 229
113.0 244.0 272
153.0 225.0 303
196.0 215.0 334
243.0 198.0 363
301.0 186.0 395
351.0 178.0 425
406.0 172.0 456
456.0 172.0 487
504.0 175.0 519
552.0 176.0 548
586.0 187.0 575
622.0 192.0 608
660.0 203.0 640
699.0 212.0 668
79 14
91.0 9.0 296
145.0 58.0 338
176.0 84.0 361
191.0 120.0 384
208.0 164.0 410
251.0 194.0 435
310.0 219.0 462
374.0 250.0 491
445.0 270.0 521
516.0 285.0 549
586.0 297.0 577
624.0 325.0 599
657.0 352.0 619
706.0 373.0 636
80 16
18.0 339.0 329
77.0 325.0 365
133.0 295.0 399
199.0 298.0 431
275.0 298.0 464
358.0 295.0 502
438.0 290.0 539
521.0 281.0 580
555.0 278.0 604
619.0 270.0 638
641.0 261.0 668
671.0 235.0 699
691.0 198.0 728
698.0 160.0 757
697.0 120.0 794
702.0 106.0 833
81 15
10.0 368.0 335
63.0 363.0 365
113.0 350.0 395
167.0 321.0 422
227.0 319.0 449
291.0 323.0 479
367.0 330.0 509
445.0 319.0 543
501.0 312.0 573
565.0 305.0 603
613.0 293.0 631
657.0 287.0 662
683.0 271.0 696
709.0 242.0 724
722.0 207.0 756
82 15
583.0 5.0 334
579.0 50.0 393
575.0 64.0 423
566.0 76.0 471
560.0 83.0 509
564.0 99.0 548
578.0 129.0 581
580.0 160.0 611
580.0 194.0 646
575.0 220.0 676
582.0 232.0 709
599.0 256.0 745
628.0 274.0 768
670.0 295.0 796
709.0 329.0 819
83 23
594.0 54.0 446
593.0 79.0 474
605.0 96.0 500
613.0 130.0 526
621.0 170.0 551
627.0 228.0 580
599.0 243.0 597
551.0 252.0 620
498.0 280.0 647
448.0 309.0 674
393.0 342.0 703
341.0 382.0 734
308.0 434.0 763
284.0 482.0 791
285.0 523.0 816
290.0 561.0 848
280.0 559.0 948
286.0 515.0 975
261.0 461.0 999
206.0 433.0 1023
140.0 414.0 1050
86.0 416.0 1081
23.0 425.0 1115
84 11
579.0 52.0 487
575.0 69.0 528
578.0 92.0 567
593.0 120.0 599
601.0 151.0 631
598.0 189.0 663
601.0 218.0 702
610.0 227.0 745
631.0 243.0 764
664.0 260.0 786
708.0 281.0 814
85 12
561.0 55.0 499
560.0 66.0 542
561.0 89.0 571
568.0 120.0 602
579.0 154.0 632
579.0 180.0 668
583.0 200.0 702
588.0 221.0 737
603.0 248.0 764
636.0 265.0 786
677.0 283.0 814
707.0 306.0 829
86 16
31.0 439.0 548
95.0 427.0 592
147.0 418.0 624
179.0 435.0 645
221.0 442.0 671
277.0 444.0 699
344.0 440.0 732
414.0 437.0 763
459.0 434.0 782
538.0 432.0 812
594.0 430.0 838
635.0 412.0 863
673.0 380.0 891
692.0 341.0 915
711.0 311.0 942
724.0 290.0 967
87 22
15.0 287.0 715
60.0 277.0 746
105.0 263.0 781
155.0 255.0 811
198.0 264.0 833
241.0 289.0 856
292.0 311.0 883
330.0 302.0 905
378.0 275.0 932
427.0 256.0 961
481.0 242.0 992
535.0 240.0 1023
572.0 227.0 1050
590.0 213.0 1072
595.0 188.0 1099
613.0 163.0 1130
633.0 146.0 1160
627.0 120.0 1186
595.0 98.0 1219
584.0 72.0 1249
585.0 49.0 1273
586.0 11.0 1321
88 12
19.0 294.0 780
55.0 283.0 802
